year,main_heading,italic_heading,donee,amount,donee_url
2001,Direct Service,,Flatbush Youth Initiative,"$20,000",
2001,Direct Service,,Goddard Riverside Community Center,"$25,000",www.goddard.org
2001,Direct Service,,Interfaith Neighbors,"$50,000",http://www.interfaithneighbors.org/
2001,Evaluation,,"Fresh Youth Initiatives, Inc.","$5,000",www.freshyouth.org
2001,General Operating,,Abraham House,"$20,000",www.abrahamhouse.org
2001,General Operating,,Catholic Charities/Dr. White Community Center,"$30,000",http://www.ccbq.org/
2001,General Operating,,"Center for Educational Options, Inc.","$25,000",
2001,General Operating,,Coalition for Hispanic Family Services,"$5,000",www.hispanicfamilyservicesny.org
2001,General Operating,,"Colony-South Brooklyn Houses, Inc.","$25,000",
2001,General Operating,,"Creative Arts Workshops for Kids, Inc.","$5,000",http://www.caw4kids.org/index/Home.html
2001,General Operating,,Crenulated-New Settlement Apartments,"$30,000",http://www.settlementhousingfund.org
2001,General Operating,,East Harlem Churches and Community Urban Centers (Booker T. Washington),"$20,000",http://bookert.org/
2001,General Operating,,"Frederick Douglass Creative Arts Centers, Inc.","$30,000",
2001,General Operating,,"Grand Street Settlement, Inc.","$25,000",www.grandstreet.org
2001,General Operating,,Hartley House,"$34,000",www.hartleyhouse.org
2001,General Operating,,"Hour Children, Inc.","$30,000",www.HourChildren.org
2001,General Operating,,Institute for Labor and the Community,"$20,000",http://www.gp-bp.org/
2001,General Operating,,"Kingsbridge Heights Community Center, Inc.","$30,000",www.khcc-nyc.org
2001,General Operating,,"Lincoln Square Neighborhood Center, Inc.","$25,000",
2001,General Operating,,Lower East Side Girls Club,"$25,000",http://www.girlsclub.org
2001,General Operating,,Lutheran Medical Center-Warren Street After School Program,"$25,000",http://www.lmcmc.com/
2001,General Operating,,Manhattan Valley Development Corporation,"$25,000",www.mvdc.org
2001,General Operating,,"Mary Mitchell Family & Youth Center, Inc.","$33,500",themarymitchellfyc.org
2001,General Operating,,"New York Career Guidance Services, Inc.","$20,000",
2001,General Operating,,"New York City Brotherhood, Inc.","$20,000",
2001,General Operating,,Rauschenbusch Metro Ministries,"$20,000",www.metrobaptistchurchnyc.org/rauschenbush/
